0
,,,.,.,P(1),P(1),.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(3),L(3),.,.,.,.,.,
,,,.,.,L(2),L(4),.,.,.,
,,,.,.,L(2),L(4),.,.,.,
,,,.,P(6),P(5),P(5),.,.,.,
,,,.,P(6),.,.,.,.,.,


1
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(3),L(3),.,.,.,.,.,
,,,.,.,L(2),L(4),.,.,.,
,,,.,.,L(2),L(4),.,.,.,
,,,.,P(6),P(5),P(5),.,.,.,
,,,.,P(6),.,.,.,.,.,


2
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,L(2),L(4),.,.,.,
,,,.,.,L(2),L(4),.,.,.,
,,,.,P(6),P(5),P(5),.,.,.,
,,,.,P(6),.,.,.,.,.,


3
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,L(2),L(4),.,.,.,
,,,.,.,L(2),L(4),.,.,.,
,,,.,.,P(5),P(5),.,.,.,
,,,.,.,.,.,.,.,.,


4
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,L(2),L(4),.,.,.,
,,,.,.,L(2),L(4),.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,


5
,,,.,P(8),P(8),.,.,.,.,
,,,.,.,.,.,L(11),.,.,
,,,.,.,.,.,L(11),.,L(9),
,,,.,.,.,.,.,L(9),.,
,,,.,.,L(2),L(2),.,.,.,
,,,.,L(7),.,.,.,P(10),.,
,,,.,L(7),.,.,.,P(10),.,


6
,,,.,P(8),P(8),.,.,.,.,
,,,.,.,.,.,L(11),.,.,
,,,.,.,.,.,L(11),.,L(9),
,,,.,.,.,.,.,L(9),.,
,,,.,.,L(2),L(2),.,.,.,
,,,.,L(7),.,.,.,.,.,
,,,.,L(7),.,.,.,.,.,


7
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,L(11),.,.,
,,,.,.,.,.,L(11),.,L(9),
,,,.,.,.,.,.,L(9),.,
,,,.,.,L(2),L(2),.,.,.,
,,,.,L(7),.,.,.,.,.,
,,,.,L(7),.,.,.,.,.,


8
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,L(11),.,.,
,,,.,.,.,.,L(11),.,L(9),
,,,.,.,.,.,.,L(9),.,
,,,.,.,L(2),L(2),.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,


9
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,L(11),.,.,
,,,.,.,.,.,L(11),.,L(9),
,,,.,.,.,.,.,L(9),.,
,,,.,.,L(2),.,L(2),.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,


10
,,,.,.,.,P(14),.,L(16),L(16),
,,,.,.,P(13),P(14),L(11),.,.,
,,,.,.,P(13),.,L(11),.,L(9),
,,,.,.,P(15),.,.,L(9),.,
,,,.,.,P(15),L(2),L(2),L(17),L(17),
,,,.,L(12),L(12),.,.,.,.,
,,,.,.,.,.,.,.,.,


11
,,,.,.,.,P(14),.,L(16),L(16),
,,,.,.,P(13),P(14),L(11),.,.,
,,,.,.,P(13),.,L(11),.,L(9),
,,,.,.,.,.,.,L(9),.,
,,,.,.,.,L(2),L(2),L(17),L(17),
,,,.,L(12),L(12),.,.,.,.,
,,,.,.,.,.,.,.,.,


12
,,,.,.,.,P(14),.,L(16),L(16),
,,,.,.,.,P(14),L(11),.,.,
,,,.,.,.,.,L(11),.,L(9),
,,,.,.,.,.,.,L(9),.,
,,,.,.,.,L(2),L(2),L(17),L(17),
,,,.,L(12),L(12),.,.,.,.,
,,,.,.,.,.,.,.,.,


13
,,,.,.,.,.,.,L(16),L(16),
,,,.,.,.,.,L(11),.,.,
,,,.,.,.,.,L(11),.,L(9),
,,,.,.,.,.,.,L(9),.,
,,,.,.,.,L(2),L(2),L(17),L(17),
,,,.,L(12),L(12),.,.,.,.,
,,,.,.,.,.,.,.,.,


14
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,L(11),.,.,
,,,.,.,.,.,L(11),.,L(9),
,,,.,.,.,.,.,L(9),.,
,,,.,.,.,L(2),L(2),L(17),L(17),
,,,.,L(12),L(12),.,.,.,.,
,,,.,.,.,.,.,.,.,


15
,,,.,.,.,P(21),L(18),L(18),.,
,,,.,.,P(19),P(21),.,.,.,
,,,.,.,P(19),L(19),.,.,L(9),
,,,.,.,.,.,.,L(9),.,
,,,.,.,P(2),P(2),L(2),L(17),L(17),
,,,.,L(12),L(12),.,.,P(20),P(20),
,,,.,.,.,.,.,.,.,


16
,,,.,.,.,P(21),L(18),L(18),.,
,,,.,.,P(19),P(21),.,.,.,
,,,.,.,P(19),L(19),.,.,L(9),
,,,.,.,.,.,.,L(9),.,
,,,.,.,P(2),P(2),L(2),L(17),L(17),
,,,.,L(12),L(12),.,.,.,.,
,,,.,.,.,.,.,.,.,


17
,,,.,.,.,P(21),L(18),L(18),.,
,,,.,.,P(19),P(21),.,.,.,
,,,.,.,P(19),L(19),.,.,L(9),
,,,.,.,.,.,.,L(9),.,
,,,.,.,L(2),.,L(2),L(17),L(17),
,,,.,L(12),L(12),.,.,.,.,
,,,.,.,.,.,.,.,.,


18
,,,.,.,.,P(21),L(18),L(18),.,
,,,.,.,L(19),P(21),.,.,.,
,,,.,.,.,L(19),.,.,L(9),
,,,.,.,.,.,.,L(9),.,
,,,.,.,L(2),.,L(2),L(17),L(17),
,,,.,L(12),L(12),.,.,.,.,
,,,.,.,.,.,.,.,.,


19
,,,.,.,.,.,L(18),L(18),.,
,,,.,.,L(19),.,.,.,.,
,,,.,.,.,L(19),.,.,L(9),
,,,.,.,.,.,.,L(9),.,
,,,.,.,L(2),.,L(2),L(17),L(17),
,,,.,L(12),L(12),.,.,.,.,
,,,.,.,.,.,.,.,.,


20
,,,L(24),.,.,P(22),.,.,.,
,,,L(24),.,L(19),P(22),.,.,.,
,,,P(23),P(23),.,L(19),.,L(9),.,
,,,L(25),L(25),.,.,.,L(9),.,
,,,.,.,L(2),.,L(2),L(17),L(17),
,,,.,L(12),.,L(12),.,.,.,
,,,.,.,.,.,.,.,.,


21
,,,L(24),.,.,P(22),.,.,.,
,,,L(24),.,L(19),P(22),.,.,.,
,,,.,.,.,L(19),.,L(9),.,
,,,L(25),L(25),.,.,.,L(9),.,
,,,.,.,L(2),.,L(2),L(17),L(17),
,,,.,L(12),.,L(12),.,.,.,
,,,.,.,.,.,.,.,.,


22
,,,L(24),.,.,.,.,.,.,
,,,L(24),.,L(19),.,.,.,.,
,,,.,.,.,L(19),.,L(9),.,
,,,L(25),L(25),.,.,.,L(9),.,
,,,.,.,L(2),.,L(2),L(17),L(17),
,,,.,L(12),.,L(12),.,.,.,
,,,.,.,.,.,.,.,.,


23
,,,L(24),.,.,.,.,.,.,
,,,L(24),.,L(19),.,.,.,.,
,,,.,.,.,L(19),.,L(9),.,
,,,L(25),L(25),.,.,.,L(9),.,
,,,.,.,L(2),.,L(2),.,.,
,,,.,L(12),.,L(12),.,.,.,
,,,.,.,.,.,.,.,.,


24
,,,L(24),.,.,.,.,.,.,
,,,L(24),.,L(19),.,.,.,.,
