,,,,,,,,,,Notes by quantum_jim,,,,,Interesting moves:,(7-8)+12+19+(23-24)+(321-324)
0,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,.,Get rid of the isolated pair: group 2,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,P(2),P(2),.,L(5),L(4),L(4),.,,,,,,,
,,,.,.,.,P(5),.,.,.,,,,,,,
,,,.,.,.,P(5),P(1),P(1),.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,.,.,.,.,P(3),P(3),.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,.,Get rid of the isolated pair: group 3,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,.,.,.,L(5),L(4),L(4),.,,,,,,,
,,,.,.,.,P(5),.,.,.,,,,,,,
,,,.,.,.,P(5),P(1),P(1),.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,.,.,.,.,P(3),P(3),.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,.,Contract the phi group by combing a pair that is probably a pair of its own. And it is,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,.,.,.,L(5),L(4),L(4),.,,,,,,,
,,,.,.,.,P(5),.,.,.,,,,,,,
,,,.,.,.,P(5),P(1),P(1),.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,.,Now annihilate the phis of group 5,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,.,.,.,L(5),L(4),L(4),.,,,,,,,
,,,.,.,.,P(5),.,.,.,,,,,,,
,,,.,.,.,P(5),.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,.,"Now we have two pretty obvious pairs, which is nice.",,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,.,.,.,L(5),L(4),L(4),.,,,,,,,
,,,.,.,.,L(5),.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,.,All change! But we've got an isolate pair of phis (group 9) so let's annihilate,,,,,,
,,,.,.,.,.,.,P(9),P(9),,,,,,,
,,,.,.,.,L(7),.,.,.,,,,,,,
,,,L(8),P(7),L(7),P(7),.,.,.,,,,,,,
,,,L(8),.,P(7),P(7),.,.,.,,,,,,,
,,,.,.,.,.,.,.,P(6),,,,,,,
,,,.,.,.,.,.,.,P(6),,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,.,And again with group 6,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,.,.,.,L(7),.,.,.,,,,,,,
,,,L(8),P(7),L(7),P(7),.,.,.,,,,,,,
,,,L(8),.,P(7),P(7),.,.,.,,,,,,,
,,,.,.,.,.,.,.,P(6),,,,,,,
,,,.,.,.,.,.,.,P(6),,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,.,There is a bundle of nonsense in the center. Two phis are fused to see what's going on.,,,,,,
,,,.,.,.,.,.,.,.,Why this choice?,,,,,,
,,,.,.,.,L(7),.,.,.,,,,,,,
,,,L(8),P(7),L(7),P(7),.,.,.,,,,,,,
,,,L(8),.,P(7),P(7),.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,.,The two phis make a phi. So we try again with the next phi.,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,.,.,.,L(7),.,.,.,,,,,,,
,,,L(8),P(7),L(7),.,.,.,.,,,,,,,
,,,L(8),.,P(7),P(7),.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,.,What a horrible bunch of nonsense. Annihilate the lamndas before everything changes.,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,.,.,.,L(7),.,.,.,,,,,,,
,,,L(8),P(7),L(7),.,.,.,.,,,,,,,
,,,L(8),.,.,P(7),.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,
,,,.,.,.,.,P(12),.,.,More stuff. What fun!,,,,,,
,,,P(11),.,.,.,P(12),.,.,"A pair of new phis. Next to an old phi, but no nearby changes. Seems a good choice.",,,,,,
,,,P(11),L(11),.,L(7),.,.,.,,,,,,,
,,,P(7),P(7),P(7),.,.,.,.,,,,,,,
,,,L(7),.,L(13),P(7),P(10),.,.,,,,,,,
,,,.,.,L(13),.,P(10),.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,
,,,.,.,.,.,P(12),.,.,Those phis at the top are pretty obvious. Let's annihilate!,,,,,,
,,,P(11),.,.,.,P(12),.,.,,,,,,,
,,,P(11),L(11),.,L(7),.,.,.,,,,,,,
,,,P(7),P(7),P(7),.,.,.,.,,,,,,,
,,,L(7),.,L(13),P(7),.,.,.,,,,,,,
,,,.,.,L(13),.,.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,.,Move a phi up towards a lambda. Why?,,,,,,
,,,P(11),.,.,.,.,.,.,,,,,,,
,,,P(11),L(11),.,L(7),.,.,.,,,,,,,
,,,P(7),P(7),P(7),.,.,.,.,,,,,,,
,,,L(7),.,L(13),P(7),.,.,.,,,,,,,
,,,.,.,L(13),.,.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,.,Ah! To fuse with that other phi. Good plan.,,,,,,
,,,P(11),.,.,.,.,.,.,,,,,,,
,,,P(11),L(11),.,L(7),.,.,.,,,,,,,
,,,P(7),P(7),P(7),P(7),.,.,.,,,,,,,
,,,L(7),.,L(13),.,.,.,.,,,,,,,
,,,.,.,L(13),.,.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,.,Those damn phis in the middle. Fuse them some more,,,,,,
,,,P(11),.,.,.,.,.,.,,,,,,,
,,,P(11),L(11),.,L(7),.,.,.,,,,,,,
,,,P(7),P(7),P(7),.,.,.,.,,,,,,,
,,,L(7),.,L(13),.,.,.,.,,,,,,,
,,,.,.,L(13),.,.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,
,,,.,.,.,P(14),P(14),.,.,,,,,,,
,,,P(11),.,.,P(7),.,.,.,There is what looks like a couple of phi pairs in the bottom right corner. Let's fuse a pair.,,,,,,
,,,P(11),P(11),.,P(7),.,.,.,,,,,,,
,,,P(7),P(7),.,.,.,.,.,,,,,,,
,,,L(7),.,P(13),P(13),.,.,.,,,,,,,
,,,.,.,.,L(13),.,P(16),P(16),,,,,,,
,,,.,.,.,.,P(15),P(15),.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,
,,,.,.,.,P(14),P(14),.,.,"Yay, annihilation! Now let's remove the next",,,,,,
,,,P(11),.,.,P(7),.,.,.,,,,,,,
,,,P(11),P(11),.,P(7),.,.,.,,,,,,,
,,,P(7),P(7),.,.,.,.,.,,,,,,,
,,,L(7),.,P(13),P(13),.,.,.,,,,,,,
,,,.,.,.,L(13),.,.,.,,,,,,,
,,,.,.,.,.,P(15),P(15),.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,
,,,.,.,.,P(14),P(14),.,.,Another similar pair of phi pairs at the top. Annihilate one,,,,,,
,,,P(11),.,.,P(7),.,.,.,,,,,,,
,,,P(11),P(11),.,P(7),.,.,.,,,,,,,
,,,P(7),P(7),.,.,.,.,.,,,,,,,
,,,L(7),.,P(13),P(13),.,.,.,,,,,,,
,,,.,.,.,L(13),.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,.,Then the next,,,,,,
,,,P(11),.,.,P(7),.,.,.,,,,,,,
,,,P(11),P(11),.,P(7),.,.,.,,,,,,,
,,,P(7),P(7),.,.,.,.,.,,,,,,,
,,,L(7),.,P(13),P(13),.,.,.,,,,,,,
,,,.,.,.,L(13),.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,.,We end up with a lambda!,,,,,,
,,,P(11),.,.,.,.,.,.,The central pair of phis are fused. What will result?,,,,,,
,,,P(11),P(11),.,L(7),.,.,.,,,,,,,
,,,P(7),P(7),.,.,.,.,.,,,,,,,
,,,L(7),.,P(13),P(13),.,.,.,,,,,,,
,,,.,.,.,L(13),.,.,.,,,,,,,
,,,.,.,.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,
,,,P(18),P(18),.,.,.,.,L(21),"Another lambda! Also, new stuff.",,,,,,
,,,P(11),.,.,.,.,.,L(21),Get rid of an obvious pair of phis,,,,,,
,,,P(11),P(11),.,L(7),.,.,.,,,,,,,
,,,P(7),P(7),.,.,.,P(19),P(19),,,,,,,
,,,L(7),.,L(13),.,.,L(22),L(22), ,,,,,,
,,,.,.,.,L(13),.,P(17),P(17),,,,,,,
,,,L(20),L(20),.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,
,,,P(18),P(18),.,.,.,.,L(21),And again,,,,,,
,,,P(11),.,.,.,.,.,L(21),,,,,,,
,,,P(11),P(11),.,L(7),.,.,.,,,,,,,
,,,P(7),P(7),.,.,.,.,.,,,,,,,
,,,L(7),.,L(13),.,.,L(22),L(22),,,,,,,
,,,.,.,.,L(13),.,P(17),P(17),,,,,,,
,,,L(20),L(20),.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,
,,,P(18),P(18),.,.,.,.,L(21),And get rid of the phis at the top left too,,,,,,
,,,P(11),.,.,.,.,.,L(21),,,,,,,
,,,P(11),P(11),.,L(7),.,.,.,,,,,,,
,,,P(7),P(7),.,.,.,.,.,,,,,,,
,,,L(7),.,L(13),.,.,L(22),L(22),,,,,,,
,,,.,.,.,L(13),.,.,.,,,,,,,
,,,L(20),L(20),.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,L(21),Start dealing with the horrible blob of phis at the left,,,,,,
,,,P(11),.,.,.,.,.,L(21),,,,,,,
,,,P(11),P(11),.,L(7),.,.,.,,,,,,,
,,,P(7),P(7),.,.,.,.,.,,,,,,,
,,,L(7),.,L(13),.,.,L(22),L(22),,,,,,,
,,,.,.,.,L(13),.,.,.,,,,,,,
,,,L(20),L(20),.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,L(21),Bit more,,,,,,
,,,.,.,.,.,.,.,L(21),,,,,,,
,,,P(11),P(11),.,L(7),.,.,.,,,,,,,
,,,P(7),P(7),.,.,.,.,.,,,,,,,
,,,L(7),.,L(13),.,.,L(22),L(22),,,,,,,
,,,.,.,.,L(13),.,.,.,,,,,,,
,,,L(20),L(20),.,.,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,L(21),,,,,,,
,,,.,.,P(25),P(25),.,.,L(21),,,,,,,
,,,.,P(11),.,P(11),P(11),.,.,,,,,,,
,,,P(11),P(11),P(13),.,.,.,.,,,,,,,
,,,L(11),.,P(13),.,L(23),L(22),L(22),,,,,,,
,,,.,.,.,P(13),L(23),.,.,,,,,,,
,,,L(20),L(20),.,P(13),L(24),L(24),.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,L(21),,,,,,,
,,,.,.,P(25),P(25),.,.,L(21),,,,,,,
,,,.,P(11),.,P(11),P(11),.,.,,,,,,,
,,,P(11),P(11),P(13),.,.,.,.,,,,,,,
,,,L(11),.,P(13),.,L(23),L(22),L(22),,,,,,,
,,,.,.,.,L(13),L(23),.,.,,,,,,,
,,,L(20),L(20),.,.,L(24),L(24),.,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,
,,,.,.,.,.,.,.,L(21),,,,,,,
,,,.,.,P(25),P(25),.,.,L(21),,,,,,,
,,,.,P(11),.,L(11),.,.,.,,,,,,,
,,,P(11),P(11),P(13),.,.,.,.,,,,,,,
,,,L(11),.,P(13),.,L(23),L(22),L(22),,,,,,,
,,,.,.,.,L(13),L(23),.,.,,,,,,,
,,,L(20),L(20),.,.,L(24),L(24),.,,,,,,,
